question_id,content,choice_options,emotion
137,"When it''s us vs. them, always bet on us. Unless they''re higher level.",117,637
228,The only thing we have to grind is grinding itself.,494,616
60,"Before you proceed, hero, please read our terms of service.",639,574
112,"He who fights with monsters should be careful lest he thereby become a monster. And if you grind too long, the grind also grinds you.",704,721
100,Existential dread got you down? Try our new Existential Bread\u00e2\u20ac\u201dfreshly baked in-game!,356,195
215,You either die a hero or live long enough to become an NPC.,593,761
140,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",526,51
125,"I think you''re in the wrong game, but hey, as long as you''re having fun!",533,275
50,"A horse, a horse, my lootbox for a horse!",758,734
20,"We make a special deal for you, only today, only now: Buy one health potion, get one free!",792,548
10,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present game.",208,783
205,"Hail, hero! The kingdom''s salvation lies in... Hey, are you even listening? Stop checking your inventory!",580,348
184,"A horse, a horse, my lootbox for a horse!",533,534
3,There is always some madness in leveling up. But there is also always some reason in madness.,672,315
159,"Hey, listen! You should really stock up on potions before the next fight.",584,419
148,"What''s up, heroes! Use code ''EPICQUEST'' for 10% off your next in-game purchase!",536,235
139,"The orcs have a saying: ''Die with honor, respawn with more loot.''",991,140
70,"The cake is a lie, but the XP is real!",240,801
186,It''s dangerous to go alone! Take this loot drop.,411,93
176,Today''s forecast: Cloudy with a chance of dragon attacks.,524,377
80,It''s-a me! Are you ready to jump into the next adventure?,109,869
145,"Hey, wanna see something cool? Press Alt+F4!",437,747
131,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",505,59
54,"So you''re an adventurer? Isn''t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",917,711
23,"Welcome, adventurer, to the dungeon of doom! Not to be confused with the dungeon of gloom, that''s two doors down.",102,802
212,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",906,827
129,"The course of true love never did run smooth. But then again, neither does lag.",488,820
196,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",66,337
104,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",720,870
156,"So you''re an adventurer? Isn''t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",156,109
174,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",438,58
195,"Our kingdom is in peril! But first, let''s take a selfie.",524,265
25,Behind every avatar is a player with a snack.,617,636
47,"The cake is a lie, but the XP is real!",616,165
178,"To defeat your enemies, you must know them. Even if they are mushrooms!",736,939
134,"Before you proceed, hero, please read our terms of service.",824,990
2,"Ah, traveler! You''ve returned with the Elixir of Eternal Life, eh?",830,81
200,"Howdy, partner. Ready to saddle up for another bounty?",336,798
57,"Before you proceed, hero, please read our terms of service.",1000,384
68,"Ain''t no rest for the wicked. Money don''t grow on trees, you know!",279,184
16,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",684,214
41,"Ah, sweet child of Kos, returned to the waking world, have we?",184,151
6,May the RNG gods forever be in your favor.,340,585
183,"Beyond this gate lies the Abyss. Bring a sweater, it gets chilly.",102,860
120,It''s dangerous to go alone! Take this loot drop.,148,98
217,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",784,250
102,"To be or not to be, that is the quest.",995,176
190,The only thing we have to grind is grinding itself.,155,800
13,"Y''know, in another universe, you and I are just polygons and pixels.",633,754
193,It''s dangerous to go alone! Take this loot drop.,10,503
8,Be yourself; everyone else is already grinding.,761,86
182,Woe be to the adventurer who opens Pandora''s Loot Box.,729,998
73,I feel the need\u00e2\u20ac\u201dthe need for speed (potions)!,428,247
30,Existential dread got you down? Try our new Existential Bread\u00e2\u20ac\u201dfreshly baked in-game!,525,785
187,"Hail, hero! The kingdom''s salvation lies in... Hey, are you even listening? Stop checking your inventory!",401,757
56,"To be or not to be, that is the quest.",537,208
32,"Come at me, bro. But only if you''ve read the Terms of Service.",335,542
62,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",664,117
118,"Y''know, in another universe, you and I are just polygons and pixels.",996,246
123,"You wish to defeat the Demon Lord? First, you must conquer the deadliest foe: server lag.",911,223
76,Life is suffering. Have you considered that in your quest for the Sword of Destiny?,336,205
35,Trust is for fools! Gold is all that matters here.,844,23
167,"The essence of combat: kill, or be killed.",92,314
107,To conquer oneself is a greater victory than to conquer thousands in a battle.,838,946
210,"Welcome, adventurer, to the Caverns of Eternal Sorrow. Happy hour is from 4 to 6.",186,576
230,"Fear not, hero! Take this sword, it''s dangerous to go alone! Also, it''s 50% off today.",748,692
65,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",25,493
90,The end is near! But it''s not too late to buy some in-game merchandise.,786,550
38,New to the realm? Swipe up for an exclusive tutorial!,473,765
110,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",196,905
197,"To be or not to be, that is the quest.",422,244
170,Look in the mirror... that''s your only competition in this game.,24,377
98,"Our kingdom is in peril! But first, let''s take a selfie.",353,522
126,"Hey, listen! You should really stock up on potions before the next fight.",488,632
151,"Y''arrr, what be ye doin'' in these parts? Ah, treasure hunting, I see. Well, X marks the spot... or was it Y?",635,170
141,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",377,341
114,"Welcome to the Enchanted Forest, where the trees are 100% organic and the unicorns are gluten-free.",141,938
161,"The course of true love never did run smooth. But then again, neither does lag.",287,645
206,"Adventurer, your future is whatever you grind it to be.",720,707
81,"Welcome to the Enchanted Forest, where the trees are 100% organic and the unicorns are gluten-free.",411,180
202,"I think you''re in the wrong game, but hey, as long as you''re having fun!",474,816
163,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",141,718
1,"The cake is a lie, but the XP is real!",671,385
194,"Between the idea and the reality, between the potion and the effect, falls the lag.",264,783
128,"Before you proceed, hero, please read our terms of service.",350,622
115,"I''m not great at advice, but can I interest you in a sarcastic comment?",180,91
26,"If you can''t handle me at my worst, you sure as hell don''t deserve me at my best stats.",992,462
227,Be yourself; everyone else is already grinding.,262,372
95,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",510,62
220,There is always some madness in leveling up. But there is also always some reason in madness.,264,179
223,"The essence of combat: kill, or be killed.",480,912
17,"Ah, sweet child of Kos, returned to the waking world, have we?",233,258
172,"We make a special deal for you, only today, only now: Buy one health potion, get one free!",995,770
53,"It is not the strength of the body that counts, but the strength of the spirit.",753,948
93,"Hey, listen! You should really stock up on potions before the next fight.",883,834
99,"Welcome to the Enchanted Forest, where the trees are 100% organic and the unicorns are gluten-free.",194,796
84,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",286,315
154,"Let''s make a deal, you and I. One you simply can''t refuse.",538,710
86,I feel the need\u00e2\u20ac\u201dthe need for speed (potions)!,565,698
27,"If you can''t handle me at my worst, you sure as hell don''t deserve me at my best stats.",304,625
44,"Welcome to the Enchanted Forest, where the trees are 100% organic and the unicorns are gluten-free.",850,785
130,"It is not the strength of the body that counts, but the strength of the spirit.",881,709
14,"Adventurer, your future is whatever you grind it to be.",33,606
175,"To defeat your enemies, you must know them. Even if they are mushrooms!",48,827
49,The night is dark and full of side quests.,169,893
162,"Hey, wanna see something cool? Press Alt+F4!",621,121
144,You either die a hero or live long enough to become an NPC.,887,446
179,"It is not the strength of the body that counts, but the strength of the spirit.",319,979
87,"Ain''t no rest for the wicked. Money don''t grow on trees, you know!",778,333
78,"In this world, it''s grind or be grinded!",145,12
224,"Ah, you''ve come this far, only to die at the hands of the King of Shadows! But first, how was your day?",891,156
164,"Hey, listen! You should really stock up on potions before the next fight.",786,74
97,"I''m not in the mood for chat, unless it''s a dialogue tree.",387,127
207,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",930,929
6,"Hey, wanna see something cool? Press Alt+F4!",856,558
286,"I''m not in the mood for chat, unless it''s a dialogue tree.",927,776
136,Boss ahead? ''Tis but a scratch!,581,727
83,Fortune favors the bold. But XP favors the grinder.,501,78
152,"To defeat your enemies, you must know them, train hard, and also buy some premium gems.",103,760
60,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",93,58
53,The end is near! But it''s not too late to buy some in-game merchandise.,443,811
116,Look in the mirror... that''s your only competition in this game.,121,119
207,"Our kingdom is in peril! But first, let''s take a selfie.",924,160
14,"Ah, you''ve come this far, only to die at the hands of the King of Shadows! But first, how was your day?",933,981
248,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",370,529
134,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,363,977
185,"To defeat your enemies, you must know them. Even if they are mushrooms!",866,728
115,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",886,76
105,"Between the idea and the reality, between the potion and the effect, falls the lag.",693,447
282,"Ah, sweet child of Kos, returned to the waking world, have we?",749,363
192,"Welcome, adventurer, to the dungeon of doom! Not to be confused with the dungeon of gloom, that''s two doors down.",780,243
107,"Seek the Old Wise Man at the mountain peak. He shall... wait, you''re googling a walkthrough, aren''t you?",764,765
256,"The course of true love never did run smooth. But then again, neither does lag.",363,627
250,"The essence of combat: kill, or be killed.",177,20
294,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",982,863
111,"Let''s make a deal, you and I. One you simply can''t refuse.",946,500
142,Ugh! Could you BE any slower in finishing this quest?,784,81
182,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",966,359
139,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",969,640
210,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",706,490
163,"Ah, sweet child of Kos, returned to the waking world, have we?",34,465
167,"Hey, wanna see something cool? Press Alt+F4!",950,544
228,Mastering others is strength; mastering yourself is true power.,899,320
48,Thou shalt not pass... without first enjoying a cup of Gnomebrew Coffee. Perks you right up!,461,845
232,Trust is for fools! Gold is all that matters here.,840,845
92,I feel the need\u00e2\u20ac\u201dthe need for speed (potions)!,30,595
199,"What''s up, heroes! Use code ''EPICQUEST'' for 10% off your next in-game purchase!",469,257
226,"Let''s make a deal, you and I. One you simply can''t refuse.",91,71
29,"A horse, a horse, my lootbox for a horse!",611,925
9,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,66,491
1,"I think you''re in the wrong game, but hey, as long as you''re having fun!",674,950
33,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",198,913
58,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",95,303
208,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",865,212
11,"Good to see you, hero! Or should I say... cash cow?",4,653
71,"Howdy, partner. Ready to saddle up for another bounty?",737,799
88,"So you''re an adventurer? Isn''t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",687,555
66,Trust is for fools! Gold is all that matters here.,930,951
124,"When it''s us vs. them, always bet on us. Unless they''re higher level.",489,439
236,"It''s not the size of the sword, it''s how you swing it!",619,181
27,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,693,781
74,Enemies ahead? I can take ''em!,610,16
77,"Fear not, hero! Take this sword, it''s dangerous to go alone! Also, it''s 50% off today.",12,655
285,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",559,743
17,"To defeat your enemies, you must know them, train hard, and also buy some premium gems.",350,285
112,The only thing we have to grind is grinding itself.,42,874
170,Be yourself; everyone else is already grinding.,741,176
145,"Seek the Old Wise Man at the mountain peak. He shall... wait, you''re googling a walkthrough, aren''t you?",602,695
216,"Why do today what you can put off for tomorrow? Actually, the Dragon won''t slay itself.",914,912
242,"A dragon terrorizes the lands. Oh, you''ve heard that one before?",446,12
269,In three words I can sum up what I''ve learned about life in the realm: It goes on.,560,507
172,The unexamined quest is not worth grinding.,622,580
267,"Welcome, welcome! Do you come often? No, really, how often?",62,362
45,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",647,623
235,Ugh! Could you BE any slower in finishing this quest?,576,600
28,May the RNG gods forever be in your favor.,98,685
50,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,19,518
158,"If you can''t handle me at my worst, you sure as hell don''t deserve me at my best stats.",383,366
244,"Our kingdom is in peril! But first, let''s take a selfie.",701,749
169,"You wish to defeat the Demon Lord? First, you must conquer the deadliest foe: server lag.",64,819
287,"A dragon terrorizes the lands. Oh, you''ve heard that one before?",602,157
23,"Hey, wanna see something cool? Press Alt+F4!",193,131
255,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",541,302
140,The only thing we have to grind is grinding itself.,870,921
15,"Welcome, adventurer, to the dungeon of doom! Not to be confused with the dungeon of gloom, that''s two doors down.",663,39
102,"Seek the Old Wise Man at the mountain peak. He shall... wait, you''re googling a walkthrough, aren''t you?",659,729
121,"Verily, you''ve conquered the Mountain of Despair! Here''s 50 gold coins.",101,546
63,"Welcome, adventurer, to the Caverns of Eternal Sorrow. Happy hour is from 4 to 6.",813,232
7,"In this world, it''s grind or be grinded!",228,195
189,"Mages get your staffs, warriors get your swords, and rogues, just... go stand in the corner.",250,871
80,"Before you proceed, hero, please read our terms of service.",880,564
31,"The essence of combat: kill, or be killed.",320,672
87,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,478,223
222,Existential dread got you down? Try our new Existential Bread\u00e2\u20ac\u201dfreshly baked in-game!,346,52
16,"It was the best of times, it was the worst of quests.",2,396
264,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",998,169
186,"You shall not pass, unless you solve my riddle!",474,886
178,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",124,844
262,"Why do today what you can put off for tomorrow? Actually, the Dragon won''t slay itself.",354,333
110,"What is better? To be born good, or to overcome your evil nature through great effort?",64,131
247,"Between the idea and the reality, between the potion and the effect, falls the lag.",5,600
219,"The essence of combat: kill, or be killed.",894,74
213,Look in the mirror... that''s your only competition in this game.,280,988
36,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,946,714
44,New to the realm? Swipe up for an exclusive tutorial!,578,435
95,"Y''know, in another universe, you and I are just polygons and pixels.",885,198
135,"A dragon terrorizes the lands. Oh, you''ve heard that one before?",516,5
165,Ugh! Could you BE any slower in finishing this quest?,737,29
260,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",178,639
