question_id,content,choice_options,emotion
214,"Welcome, welcome! Do you come often? No, really, how often?",980,552
84,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,320,203
229,"When it''s us vs. them, always bet on us. Unless they''re higher level.",746,761
274,Trust is for fools! Gold is all that matters here.,80,485
253,"I think you''re in the wrong game, but hey, as long as you''re having fun!",392,966
20,"We make a special deal for you, only today, only now: Buy one health potion, get one free!",760,613
64,"Hail, hero! The kingdom''s salvation lies in... Hey, are you even listening? Stop checking your inventory!",361,207
224,Time you enjoy wasting on this game was not wasted time.,877,971
293,Life is suffering. Have you considered that in your quest for the Sword of Destiny?,132,271
196,"Life, which you so nobly serve, comes from destruction, disorder and chaos.",152,570
223,"The orcs have a saying: ''Die with honor, respawn with more loot.''",650,904
257,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",712,40
271,"The course of true love never did run smooth. But then again, neither does lag.",173,755
100,"Ah, you''ve come this far, only to die at the hands of the King of Shadows! But first, how was your day?",483,67
155,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",190,723
183,"Do you wish to hear a tale of valor and sacrifice? Too late, it''s DLC content.",931,399
126,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,782,136
128,"Before you proceed, hero, please read our terms of service.",209,326
146,Behind every avatar is a player with a snack.,480,991
98,"Come at me, bro. But only if you''ve read the Terms of Service.",41,18
90,Existential dread got you down? Try our new Existential Bread\u00e2\u20ac\u201dfreshly baked in-game!,52,159
175,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",606,866
25,May the RNG gods forever be in your favor.,361,496
119,To conquer oneself is a greater victory than to conquer thousands in a battle.,897,800
184,"Welcome, welcome! Do you come often? No, really, how often?",265,126
205,"In ancient times, dragons roamed these lands. Now it''s mostly just influencers and food bloggers.",205,662
279,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",841,912
202,The end is near! But it''s not too late to buy some in-game merchandise.,460,363
93,"I''m not great at advice, but can I interest you in a sarcastic comment?",987,115
38,"You wish to defeat the Demon Lord? First, you must conquer the deadliest foe: server lag.",66,554
200,Mastering others is strength; mastering yourself is true power.,219,535
290,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,471,898
194,Woe be to the adventurer who opens Pandora''s Loot Box.,568,831
104,One does not simply walk into the End Zone.,840,926
147,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",295,14
3,The unexamined quest is not worth grinding.,939,627
243,"It was the best of times, it was the worst of quests.",891,37
69,Two things are infinite: the universe and the respawn timer; and I''m not sure about the universe.,71,442
47,"Before you proceed, hero, please read our terms of service.",365,786
42,"In ancient times, dragons roamed these lands. Now it''s mostly just influencers and food bloggers.",962,48
161,"Y''know, in another universe, you and I are just polygons and pixels.",883,604
150,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",69,498
39,Ain''t no party like a dungeon crawl party ''cause a dungeon crawl party don''t stop until everyone''s encumbered.,678,479
55,"It is not the strength of the body that counts, but the strength of the spirit.",26,455
131,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",682,853
239,"Ain''t no rest for the wicked. Money don''t grow on trees, you know!",575,326
276,In three words I can sum up what I''ve learned about life in the realm: It goes on.,554,241
162,Enemies ahead? I can take ''em!,746,333
179,"Hey, wanna see something cool? Press Alt+F4!",954,116
14,"The orcs have a saying: ''Die with honor, respawn with more loot.''",137,686
269,Enemies ahead? I can take ''em!,701,52
168,Look in the mirror... that''s your only competition in this game.,493,263
241,The unexamined quest is not worth grinding.,621,870
45,"I think you''re in the wrong game, but hey, as long as you''re having fun!",131,783
105,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,53,215
287,"Life, which you so nobly serve, comes from destruction, disorder and chaos.",537,550
174,Behind every avatar is a player with a snack.,694,786
302,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",471,552
102,"Beyond this gate lies the Abyss. Bring a sweater, it gets chilly.",341,940
38,The end is near! But it''s not too late to buy some in-game merchandise.,168,29
157,"Existence precedes essence. So, what''s your next quest, existentialist?",944,814
124,"Welcome to the Guild of Forgotten Souls! Now, what''s your damage?",890,121
311,"I''m not in the mood for chat, unless it''s a dialogue tree.",502,232
252,Boss ahead? ''Tis but a scratch!,525,634
135,Look in the mirror... that''s your only competition in this game.,371,739
96,"Welcome to the Guild of Forgotten Souls! Now, what''s your damage?",369,527
194,"Welcome, welcome! Do you come often? No, really, how often?",589,918
238,Look in the mirror... that''s your only competition in this game.,883,414
256,"Verily, you''ve conquered the Mountain of Despair! Here''s 50 gold coins.",769,400
34,"Come at me, bro. But only if you''ve read the Terms of Service.",281,176
275,"When it''s us vs. them, always bet on us. Unless they''re higher level.",882,85
47,"What''s up, heroes! Use code ''EPICQUEST'' for 10% off your next in-game purchase!",558,72
119,"Come at me, bro. But only if you''ve read the Terms of Service.",868,817
177,Today''s forecast: Cloudy with a chance of dragon attacks.,840,607
187,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",995,273
68,"In your quest, you must consult the Oracle of Delphi...or Dave, the guy who knows stuff.",778,537
226,"Adventurer, your future is whatever you grind it to be.",495,156
85,"He who fights with monsters should be careful lest he thereby become a monster. And if you grind too long, the grind also grinds you.",102,898
42,The night is dark and full of side quests.,635,57
11,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",321,656
281,New to the realm? Swipe up for an exclusive tutorial!,859,57
80,Time you enjoy wasting on this game was not wasted time.,746,77
30,One does not simply walk into the End Zone.,333,952
249,"Our kingdom is in peril! But first, let''s take a selfie.",369,222
160,"You have been granted the Sword of Eternal Power! But first, would you like to take a survey?",321,74
141,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",928,404
107,"Y''arrr, what be ye doin'' in these parts? Ah, treasure hunting, I see. Well, X marks the spot... or was it Y?",632,460
253,"The course of true love never did run smooth. But then again, neither does lag.",258,243
257,"Howdy, partner. Ready to saddle up for another bounty?",914,668
76,One does not simply walk into the End Zone.,564,668
16,Two things are infinite: the universe and the respawn timer; and I''m not sure about the universe.,357,955
93,You are not prepared... for these discounts! All potions 50% off!,603,594
186,"Seek the Old Wise Man at the mountain peak. He shall... wait, you''re googling a walkthrough, aren''t you?",747,711
234,You must collect the seven artifacts of power! And maybe some milk on your way back?,445,529
171,Fortune favors the bold. But XP favors the grinder.,153,978
142,"Never look a gift dragon in the mouth. Actually, never look any dragon in the mouth.",174,259
272,"I think you''re in the wrong game, but hey, as long as you''re having fun!",679,861
228,"To defeat your enemies, you must know them, train hard, and also buy some premium gems.",361,818
306,It''s dangerous to go alone! Take this loot drop.,382,251
223,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,365,731
3,Enemies ahead? I can take ''em!,720,301
122,"Adventurer, your future is whatever you grind it to be.",334,895
33,"Ain''t no rest for the wicked. Money don''t grow on trees, you know!",672,67
25,Whoa! You just hit level 20? That''s sooo aesthetic! #LevelUpGoals,263,911
213,"Let''s make a deal, you and I. One you simply can''t refuse.",625,817
258,"The essence of combat: kill, or be killed.",363,522
128,"Good to see you, hero! Or should I say... cash cow?",374,870
254,New to the realm? Swipe up for an exclusive tutorial!,491,252
159,"Seek the Old Wise Man at the mountain peak. He shall... wait, you''re googling a walkthrough, aren''t you?",311,276
111,Life is suffering. Have you considered that in your quest for the Sword of Destiny?,682,153
60,"Welcome, adventurer, to the Caverns of Eternal Sorrow. Happy hour is from 4 to 6.",641,911
292,Behind every avatar is a player with a snack.,267,217
56,Boss ahead? ''Tis but a scratch!,763,914
280,"Do you wish to hear a tale of valor and sacrifice? Too late, it''s DLC content.",114,827
92,"Yo, fam! Don''t forget to like and subscribe before you head to the Dark Forest!",902,862
232,You either die a hero or live long enough to become an NPC.,115,118
173,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",11,344
41,"Ain''t no rest for the wicked. Money don''t grow on trees, you know!",752,135
20,"If you can''t handle me at my worst, you sure as hell don''t deserve me at my best stats.",812,311
215,"To defeat your enemies, you must know them. Even if they are mushrooms!",376,381
218,"Welcome to the Guild of Forgotten Souls! Now, what''s your damage?",841,10
294,"We make a special deal for you, only today, only now: Buy one health potion, get one free!",557,39
283,It''s-a me! Are you ready to jump into the next adventure?,921,941
290,"Welcome, adventurer, to the dungeon of doom! Not to be confused with the dungeon of gloom, that''s two doors down.",366,207
163,"You shall not pass, unless you solve my riddle!",341,481
182,Two things are infinite: the universe and the respawn timer; and I''m not sure about the universe.,21,858
90,"Beyond this gate lies the Abyss. Bring a sweater, it gets chilly.",722,200
114,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present game.",384,445
297,"Ah, sweet child of Kos, returned to the waking world, have we?",505,225
246,"Why do today what you can put off for tomorrow? Actually, the Dragon won''t slay itself.",814,63
48,There is always some madness in leveling up. But there is also always some reason in madness.,602,28
220,"It is not the strength of the body that counts, but the strength of the spirit.",669,584
82,"What is better? To be born good, or to overcome your evil nature through great effort?",204,142
179,Today''s forecast: Cloudy with a chance of dragon attacks.,177,513
250,"Before you proceed, hero, please read our terms of service.",369,605
154,"Ah, traveler! You''ve returned with the Elixir of Eternal Life, eh?",622,951
270,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,409,48
185,"The course of true love never did run smooth. But then again, neither does lag.",616,367
81,"You wish to defeat the Demon Lord? First, you must conquer the deadliest foe: server lag.",869,292
120,Behind every avatar is a player with a snack.,21,29
72,"A dragon terrorizes the lands. Oh, you''ve heard that one before?",166,519
9,"Hey, listen! You should really stock up on potions before the next fight.",27,40
204,"What''s up, heroes! Use code ''EPICQUEST'' for 10% off your next in-game purchase!",937,289
39,Boss ahead? ''Tis but a scratch!,548,582
59,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",941,238
222,"The essence of combat: kill, or be killed.",312,480
196,Today''s forecast: Cloudy with a chance of dragon attacks.,915,791
164,You are not prepared... for these discounts! All potions 50% off!,424,317
262,Woe be to the adventurer who opens Pandora''s Loot Box.,885,151
167,"Welcome to the Guild of Forgotten Souls! Now, what''s your damage?",103,312
152,"It''s not the size of the sword, it''s how you swing it!",357,853
203,"The essence of combat: kill, or be killed.",369,925
229,"In this world, it''s grind or be grinded!",261,8
106,"Life, which you so nobly serve, comes from destruction, disorder and chaos.",58,869
19,"Good to see you, hero! Or should I say... cash cow?",574,410
53,New to the realm? Swipe up for an exclusive tutorial!,200,570
27,"Mages get your staffs, warriors get your swords, and rogues, just... go stand in the corner.",111,309
37,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",558,501
127,Enemies ahead? I can take ''em!,835,427
279,You either die a hero or live long enough to become an NPC.,330,249
197,"To defeat your enemies, you must know them, train hard, and also buy some premium gems.",64,712
189,"Welcome, adventurer, to the Caverns of Eternal Sorrow. Happy hour is from 4 to 6.",498,434
148,"He who fights with monsters should be careful lest he thereby become a monster. And if you grind too long, the grind also grinds you.",150,689
236,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",639,281
240,"It is not the strength of the body that counts, but the strength of the spirit.",556,449
276,"Y''arrr, what be ye doin'' in these parts? Ah, treasure hunting, I see. Well, X marks the spot... or was it Y?",825,664
200,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",324,351
265,"It''s not the size of the sword, it''s how you swing it!",196,977
235,You are not prepared... for these discounts! All potions 50% off!,570,847
145,"Hey, wanna see something cool? Press Alt+F4!",313,520
210,"It was the best of times, it was the worst of quests.",586,847
300,"Hey, wanna see something cool? Press Alt+F4!",818,560
66,Fortune favors the bold. But XP favors the grinder.,77,73
63,"Existence precedes essence. So, what''s your next quest, existentialist?",68,69
296,Mastering others is strength; mastering yourself is true power.,306,584
150,Trust is for fools! Gold is all that matters here.,88,319
192,"Do you wish to hear a tale of valor and sacrifice? Too late, it''s DLC content.",641,363
110,Fortune favors the bold. But XP favors the grinder.,499,358
310,"Mages get your staffs, warriors get your swords, and rogues, just... go stand in the corner.",744,325
58,Thou shalt not pass... without first enjoying a cup of Gnomebrew Coffee. Perks you right up!,498,802
305,Ain''t no party like a dungeon crawl party ''cause a dungeon crawl party don''t stop until everyone''s encumbered.,802,485
162,Two things are infinite: the universe and the respawn timer; and I''m not sure about the universe.,269,753
132,"I think you''re in the wrong game, but hey, as long as you''re having fun!",869,111
31,"Adventurer, your future is whatever you grind it to be.",265,666
260,Ain''t no party like a dungeon crawl party ''cause a dungeon crawl party don''t stop until everyone''s encumbered.,318,323
87,"Howdy, partner. Ready to saddle up for another bounty?",735,699
231,Two things are infinite: the universe and the respawn timer; and I''m not sure about the universe.,249,937
156,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",312,485
118,"Ah, traveler! You''ve returned with the Elixir of Eternal Life, eh?",532,515
6,"If you can''t handle me at my worst, you sure as hell don''t deserve me at my best stats.",409,233
116,I''m sooo over the Fire Kingdom. It''s just too mainstream now.,725,647
49,Trust is for fools! Gold is all that matters here.,909,895
17,"Adventurer, your future is whatever you grind it to be.",345,673
74,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",304,756
65,Thou shalt not pass... without first enjoying a cup of Gnomebrew Coffee. Perks you right up!,572,891
266,"To defeat your enemies, you must know them. Even if they are mushrooms!",310,617
307,"What is better? To be born good, or to overcome your evil nature through great effort?",979,626
98,"Ah, sweet child of Kos, returned to the waking world, have we?",88,160
129,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present game.",814,95
295,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",838,208
70,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present game.",29,708
79,"Fear not, hero! Take this sword, it''s dangerous to go alone! Also, it''s 50% off today.",269,231
286,"Before you proceed, hero, please read our terms of service.",574,314
207,"Welcome to the Enchanted Forest, where the trees are 100% organic and the unicorns are gluten-free.",529,439
50,I feel the need\u00e2\u20ac\u201dthe need for speed (potions)!,381,923
23,"Howdy, partner. Ready to saddle up for another bounty?",883,536
138,Boss ahead? ''Tis but a scratch!,141,770
100,"Hey, listen! You should really stock up on potions before the next fight.",12,447
244,The unexamined quest is not worth grinding.,478,186
